stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
541.9,ci,354,3.19706,3.32029,4.35149,-6.28943
541.9,ftci,354,3.19205,3.33689,4.39354,-6.35648
542,ci,356,3.19706,3.32027,4.35089,-6.29033
542,ftci,356,3.19205,3.33674,4.3935,-6.35701
542.08,ci,358,3.19706,3.32026,4.35028,-6.29082
542.08,ftci,358,3.19205,3.33664,4.39346,-6.35696
542.16,ci,360,3.19706,3.32029,4.34968,-6.29129
542.16,ftci,360,3.19205,3.33656,4.39343,-6.35699
542.224,ci,362,3.19706,3.32033,4.34927,-6.29184
542.224,ftci,362,3.19205,3.3365,4.39341,-6.35714
542.3,ci,364,3.19706,3.32039,4.34905,-6.29256
542.3,ftci,364,3.19205,3.33644,4.3934,-6.35749
542.356,ci,366,3.19706,3.32046,4.34883,-6.29331
542.356,ftci,366,3.19205,3.33639,4.3934,-6.35784
542.404,ci,368,3.19706,3.32054,4.34861,-6.29401
542.404,ftci,368,3.19205,3.33635,4.3934,-6.35813
542.484,ci,370,3.19706,3.32065,4.34839,-6.29473
542.484,ftci,370,3.19205,3.33634,4.39339,-6.35845
542.52,ci,372,3.19706,3.32074,4.34817,-6.29547
542.52,ftci,372,3.19205,3.33628,4.39339,-6.35883
542.588,ci,374,3.19706,3.32082,4.34795,-6.29623
542.588,ftci,374,3.19205,3.33623,4.39339,-6.35924
542.656,ci,376,3.19706,3.32091,4.34774,-6.29707
542.656,ftci,376,3.19205,3.33619,4.39338,-6.35975
542.708,ci,378,3.19706,3.321,4.34752,-6.29789
542.708,ftci,378,3.19205,3.33614,4.39338,-6.36024
542.8,ci,380,3.19706,3.32107,4.3473,-6.29873
542.8,ftci,380,3.19205,3.3361,4.39338,-6.36075
542.9,ci,382,3.19706,3.32115,4.34662,-6.29956
542.9,ftci,382,3.19205,3.33606,4.3931,-6.36125
542.972,ci,384,3.19706,3.3212,4.34549,-6.30035
542.972,ftci,384,3.19205,3.33602,4.39254,-6.36169
543.016,ci,386,3.19706,3.32124,4.34436,-6.30117
543.016,ftci,386,3.19205,3.33598,4.39199,-6.3622
543.084,ci,388,3.19706,3.32128,4.34323,-6.30195
543.084,ftci,388,3.19205,3.33594,4.39143,-6.36266
543.148,ci,390,3.19706,3.32133,4.3421,-6.30276
543.148,ftci,390,3.19205,3.33592,4.39087,-6.36316
543.196,ci,392,3.19706,3.32138,4.34097,-6.30349
543.196,ftci,392,3.19205,3.33592,4.39032,-6.36355
543.248,ci,394,3.19706,3.32146,4.33984,-6.30426
543.248,ftci,394,3.19205,3.33595,4.38976,-6.36403
543.292,ci,396,3.19706,3.32155,4.33871,-6.30506
543.292,ftci,396,3.19205,3.33598,4.3892,-6.36454
543.328,ci,398,3.19706,3.32163,4.33758,-6.3058
543.328,ftci,398,3.19205,3.33602,4.38865,-6.36495
543.38,ci,400,3.19706,3.32173,4.33645,-6.30653
543.38,ftci,400,3.19205,3.33607,4.38809,-6.36537
543.424,ci,402,3.19706,3.32183,4.33572,-6.30729
543.424,ftci,402,3.19205,3.33612,4.38781,-6.36582
543.476,ci,404,3.19706,3.32195,4.33538,-6.30801
543.476,ftci,404,3.19205,3.3362,4.38779,-6.36624
543.512,ci,406,3.19706,3.32206,4.33504,-6.30875
543.512,ftci,406,3.19205,3.33627,4.38777,-6.36669
543.576,ci,408,3.19706,3.32218,4.3347,-6.30943
543.576,ftci,408,3.19205,3.33635,4.38776,-6.36706
543.604,ci,410,3.19706,3.32231,4.33436,-6.3101
543.604,ftci,410,3.19205,3.33642,4.38774,-6.36748
543.676,ci,412,3.19706,3.32243,4.33402,-6.31082
543.676,ftci,412,3.19205,3.33651,4.38772,-6.36794
543.712,ci,414,3.19706,3.32255,4.33368,-6.31153
543.712,ftci,414,3.19205,3.3366,4.38771,-6.36836
543.776,ci,416,3.19706,3.32267,4.33335,-6.31223
543.776,ftci,416,3.19205,3.3367,4.38769,-6.36878
543.804,ci,418,3.19706,3.32279,4.33301,-6.31294
543.804,ftci,418,3.19205,3.3368,4.38767,-6.36923
543.876,ci,420,3.19706,3.32293,4.33267,-6.31252
543.876,ftci,420,3.19205,3.33688,4.38766,-6.36867
543.908,ci,422,3.19706,3.32308,4.33234,-6.31207
543.908,ftci,422,3.19205,3.33696,4.38741,-6.36822
543.964,ci,424,3.19706,3.32323,4.33202,-6.31176
543.964,ftci,424,3.19205,3.33705,4.38693,-6.36781
544.008,ci,426,3.19706,3.32337,4.33171,-6.31161
544.008,ftci,426,3.19205,3.33714,4.38645,-6.3675
544.064,ci,428,3.19706,3.32351,4.33139,-6.31162
544.064,ftci,428,3.19205,3.33723,4.38597,-6.36731
544.104,ci,430,3.19706,3.32364,4.33108,-6.31172
544.104,ftci,430,3.19205,3.33733,4.38549,-6.36715
544.164,ci,432,3.19706,3.32376,4.33076,-6.312
544.164,ftci,432,3.19205,3.33742,4.38501,-6.36716
544.18,ci,434,3.19706,3.32386,4.33044,-6.31237
544.18,ftci,434,3.19205,3.33751,4.38453,-6.36726
544.24,ci,436,3.19706,3.32396,4.33013,-6.3128
544.24,ftci,436,3.19205,3.3376,4.38406,-6.36739
544.28,ci,438,3.19706,3.32404,4.32981,-6.31322
544.28,ftci,438,3.19205,3.33768,4.38358,-6.3675
544.316,ci,440,3.19706,3.32413,4.3295,-6.31364
544.316,ftci,440,3.19205,3.33774,4.3831,-6.36774
544.372,ci,442,3.19706,3.32419,4.32912,-6.31411
544.372,ftci,442,3.19205,3.33781,4.38269,-6.36791
