stamp_ns,node_ns,src_drone_ns,fused_id,class_id,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
12952000000,/,drone1,0,-1,world,-0.920102,0.135710,0.000000,1.582867e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.582867e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.947095e+00
13044000000,/,drone1,0,-1,world,-0.920411,0.135798,0.000000,1.583379e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.583379e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.947186e+00
13152000000,/,drone1,0,-1,world,-0.898681,0.143981,0.000000,1.569512e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.569512e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.953031e+00
13252000000,/,drone1,0,-1,world,-0.895486,0.147313,0.000000,1.568629e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.568629e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.956328e+00
13336000000,/,drone1,0,-1,world,-0.894390,0.148452,0.000000,1.568299e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.568299e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.957457e+00
13432000000,/,drone1,0,-1,world,-0.904651,0.160010,0.000000,1.704046e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.704046e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.958686e+00
13536000000,/,drone1,0,-1,world,-0.909598,0.167189,0.000000,1.812549e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.812549e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.969533e+00
13644000000,/,drone1,0,-1,world,-0.911793,0.166903,0.000000,1.795401e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.795401e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.962239e+00
13728000000,/,drone1,0,-1,world,-0.907241,0.170176,0.000000,1.857420e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.857420e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.971038e+00
13804000000,/,drone1,0,-1,world,-0.900812,0.169499,0.000000,1.844159e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.844159e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.965865e+00
13900000000,/,drone1,0,-1,world,-0.897986,0.169204,0.000000,1.838367e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.838367e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.963584e+00
14000000000,/,drone1,0,-1,world,-0.893804,0.169318,0.000000,1.834073e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.834073e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.959727e+00
14092000000,/,drone1,0,-1,world,-0.898566,0.170244,0.000000,1.845697e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.845697e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.960673e+00
14192000000,/,drone1,0,-1,world,-0.880242,0.166813,0.000000,1.821229e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.821229e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.954980e+00
14288000000,/,drone1,0,-1,world,-0.879354,0.167776,0.000000,1.828291e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.828291e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.956738e+00
14368000000,/,drone1,0,-1,world,-0.878971,0.168179,0.000000,1.831227e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.831227e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.957465e+00
14456000000,/,drone1,0,-1,world,-0.878805,0.168348,0.000000,1.832453e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.832453e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.957767e+00
14556000000,/,drone1,0,-1,world,-0.878733,0.168419,0.000000,1.832965e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.832965e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.957894e+00
14636000000,/,drone1,0,-1,world,-0.869461,0.166546,0.000000,1.801529e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.801529e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.949333e+00
14728000000,/,drone1,0,-1,world,-0.874902,0.168526,0.000000,1.841946e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.841946e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.960586e+00
14820000000,/,drone1,0,-1,world,-0.882194,0.168598,0.000000,1.847686e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.847686e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.962109e+00
14904000000,/,drone1,0,-1,world,-0.886047,0.169370,0.000000,1.865944e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.865944e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.967004e+00
15000000000,/,drone1,0,-1,world,-0.888892,0.170028,0.000000,1.880092e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.880092e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.970693e+00
15096000000,/,drone1,0,-1,world,-0.889935,0.170403,0.000000,1.888584e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.888584e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.972769e+00
15168000000,/,drone1,0,-1,world,-0.890386,0.170566,0.000000,1.892301e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.892301e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.973673e+00
15244000000,/,drone1,0,-1,world,-0.890582,0.170637,0.000000,1.893937e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.893937e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974070e+00
15316000000,/,drone1,0,-1,world,-0.890667,0.170668,0.000000,1.894658e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.894658e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974245e+00
15400000000,/,drone1,0,-1,world,-0.890704,0.170681,0.000000,1.894976e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.894976e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974322e+00
15480000000,/,drone1,0,-1,world,-0.890721,0.170687,0.000000,1.895116e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895116e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974356e+00
15560000000,/,drone1,0,-1,world,-0.890728,0.170690,0.000000,1.895178e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895178e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974371e+00
15644000000,/,drone1,0,-1,world,-0.890731,0.170691,0.000000,1.895206e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895206e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974377e+00
15708000000,/,drone1,0,-1,world,-0.890732,0.170692,0.000000,1.895218e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895218e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974380e+00
15808000000,/,drone1,0,-1,world,-0.890733,0.170692,0.000000,1.895223e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895223e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974382e+00
15900000000,/,drone1,0,-1,world,-0.890733,0.170692,0.000000,1.895226e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.895226e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974382e+00
16000000000,/,drone1,0,-1,world,-0.889511,0.171217,0.000000,1.906469e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.906469e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.977491e+00
16104000000,/,drone1,0,-1,world,-0.890176,0.170923,0.000000,1.900215e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.900215e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.975766e+00
16200000000,/,drone1,0,-1,world,-0.890480,0.170793,0.000000,1.897434e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.897434e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.974996e+00
