stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
1.84,drone2,raw,0.978259,-0.00106,1.495292,,,,,,,,,,,,,,,,
1.84,drone3,raw,0.97882,0.598946,1.490002,,,,,,,,,,,,,,,,
1.86,drone2,raw,0.977706,-0.001071,1.486816,,,,,,,,,,,,,,,,
1.86,drone3,raw,0.978269,0.598935,1.481513,,,,,,,,,,,,,,,,
1.86,drone1,raw,0.978277,-0.601064,1.480684,,,,,,,,,,,,,,,,
1.88,drone1,raw,0.978019,-0.601075,1.473997,,,,,,,,,,,,,,,,
1.88,drone2,raw,0.977448,-0.001082,1.480149,,,,,,,,,,,,,,,,
1.88,drone3,raw,0.978012,0.598924,1.474834,,,,,,,,,,,,,,,,
1.9,drone1,raw,0.978036,-0.601085,1.469222,,,,,,,,,,,,,,,,
1.9,drone2,raw,0.977465,-0.001092,1.475395,,,,,,,,,,,,,,,,
1.9,drone3,raw,0.978029,0.598914,1.470068,,,,,,,,,,,,,,,,
1.92,drone1,raw,0.978296,-0.601095,1.466407,,,,,,,,,,,,,,,,
1.92,drone3,raw,0.978289,0.598904,1.46726,,,,,,,,,,,,,,,,
1.92,drone2,raw,0.977726,-0.001102,1.472601,,,,,,,,,,,,,,,,
1.94,drone1,raw,0.97876,-0.601104,1.465538,,,,,,,,,,,,,,,,
1.94,drone2,raw,0.978191,-0.001111,1.471752,,,,,,,,,,,,,,,,
1.94,drone3,raw,0.978753,0.598894,1.466397,,,,,,,,,,,,,,,,
1.96,drone1,raw,0.97938,-0.601112,1.466543,,,,,,,,,,,,,,,,
1.96,drone3,raw,0.979374,0.598886,1.467407,,,,,,,,,,,,,,,,
1.96,drone2,raw,0.978814,-0.001119,1.472777,,,,,,,,,,,,,,,,
1.98,drone1,raw,0.98011,-0.601119,1.469291,,,,,,,,,,,,,,,,
1.98,drone3,raw,0.980104,0.59888,1.470161,,,,,,,,,,,,,,,,
1.98,drone2,raw,0.979546,-0.001126,1.475546,,,,,,,,,,,,,,,,
2,drone1,raw,0.980902,-0.601125,1.473601,,,,,,,,,,,,,,,,
2,drone3,raw,0.980896,0.598874,1.474475,,,,,,,,,,,,,,,,
2,drone2,raw,0.980341,-0.001132,1.479875,,,,,,,,,,,,,,,,
2.02,drone1,raw,0.981713,-0.60113,1.479243,,,,,,,,,,,,,,,,
2.02,drone2,raw,0.981155,-0.001137,1.485537,,,,,,,,,,,,,,,,
2.02,drone3,raw,0.981707,0.598869,1.48012,,,,,,,,,,,,,,,,
2.04,drone1,raw,0.982507,-0.601134,1.485949,,,,,,,,,,,,,,,,
2.04,drone3,raw,0.982502,0.598865,1.486829,,,,,,,,,,,,,,,,
2.04,drone2,raw,0.981952,-0.001141,1.492263,,,,,,,,,,,,,,,,
2.06,drone1,raw,0.983255,-0.601138,1.493423,,,,,,,,,,,,,,,,
2.06,drone2,raw,0.982703,-0.001145,1.499755,,,,,,,,,,,,,,,,
2.06,drone3,raw,0.98325,0.598861,1.494305,,,,,,,,,,,,,,,,
2.08,drone3,raw,0.983931,0.598858,1.502233,,,,,,,,,,,,,,,,
2.08,drone2,raw,0.983387,-0.001148,1.5077,,,,,,,,,,,,,,,,
2.08,drone1,raw,0.983936,-0.601141,1.501347,,,,,,,,,,,,,,,,
2.1,drone2,raw,0.983989,-0.001152,1.515773,,,,,,,,,,,,,,,,
2.1,drone1,raw,0.984536,-0.601145,1.509401,,,,,,,,,,,,,,,,
2.1,drone3,raw,0.984532,0.598854,1.510289,,,,,,,,,,,,,,,,
2.12,drone3,raw,0.985045,0.598851,1.518153,,,,,,,,,,,,,,,,
2.12,drone2,raw,0.984504,-0.001155,1.523654,,,,,,,,,,,,,,,,
2.12,drone1,raw,0.985049,-0.601148,1.517263,,,,,,,,,,,,,,,,
2.14,drone1,raw,0.985473,-0.601151,1.524628,,,,,,,,,,,,,,,,
2.14,drone2,raw,0.98493,-0.001158,1.531039,,,,,,,,,,,,,,,,
2.14,drone3,raw,0.985469,0.598848,1.52552,,,,,,,,,,,,,,,,
2.16,drone3,raw,0.985807,0.598844,1.532107,,,,,,,,,,,,,,,,
2.16,drone2,raw,0.985269,-0.001162,1.537642,,,,,,,,,,,,,,,,
2.16,drone1,raw,0.985811,-0.601154,1.531211,,,,,,,,,,,,,,,,
2.18,drone1,raw,0.986067,-0.601157,1.536761,,,,,,,,,,,,,,,,
2.18,drone3,raw,0.986063,0.598841,1.537658,,,,,,,,,,,,,,,,
2.18,drone2,raw,0.985526,-0.001165,1.543211,,,,,,,,,,,,,,,,
